lake,station,season,sample_date_1971,depth_m,HCO3,SO4,Cl,F
Skaha Lake,5,JUNE,1971-06-23,30,139,27.7,1.4,0.17
Skaha Lake,5,JUNE,1971-06-23,44,,,1.4,0.17
Skaha Lake,5,AUGUST,1971-08-18,1,122,29.1,1.3,0.20
Skaha Lake,5,AUGUST,1971-08-18,5,122,27.5,1.3,0.20
Skaha Lake,5,AUGUST,1971-08-18,10,128,27.3,1.3,0.20
Skaha Lake,5,AUGUST,1971-08-18,25,135,28.0,1.4,0.20
Skaha Lake,5,AUGUST,1971-08-18,38,135,27.6,1.4,0.20
Skaha Lake,5,OCTOBER,1971-10-18,1,116,28.0,1.4,0.18
Skaha Lake,5,OCTOBER,1971-10-18,15,117,27.5,1.4,0.20
Skaha Lake,5,OCTOBER,1971-10-18,18,134,27.8,1.5,0.20
Skaha Lake,5,OCTOBER,1971-10-18,30,137,27.5,1.4,0.19
Skaha Lake,5,OCTOBER,1971-10-18,39,138,26.9,1.5,0.19
Osoyoos Lake,1,APRIL,1971-04-17,1,149,31.5,1.9,0.21
Osoyoos Lake,1,APRIL,1971-04-17,5,149,31.8,1.4,0.21
Osoyoos Lake,1,APRIL,1971-04-17,10,150,31.2,1.4,0.21
Osoyoos Lake,1,APRIL,1971-04-17,25,149,30.9,1.4,0.21
Osoyoos Lake,1,APRIL,1971-04-17,35,150,31.2,1.6,0.21
Osoyoos Lake,1,JUNE,1971-06-22,1,120,ND,7.3,0.17
Osoyoos Lake,1,JUNE,1971-06-22,5,120,24.2,1.4,0.17
Osoyoos Lake,1,JUNE,1971-06-22,10,122,24.1,1.2,0.17
Osoyoos Lake,1,JUNE,1971-06-22,15,124,25.5,1.3,0.17
Osoyoos Lake,1,JUNE,1971-06-22,20,129,26.4,1.2,0.19
Osoyoos Lake,1,JUNE,1971-06-22,25,146,28.7,1.3,0.21
Osoyoos Lake,1,JUNE,1971-06-22,30,149,29.4,1.4,0.20
Osoyoos Lake,1,JUNE,1971-06-22,36,151,23.6,1.2,0.17
Osoyoos Lake,1,AUGUST,1971-08-20,1,121,28.4,1.5,0.20
Osoyoos Lake,1,AUGUST,1971-08-20,5,121,26.7,1.5,0.20
Osoyoos Lake,1,AUGUST,1971-08-20,10,143,29.4,1.6,0.21
Osoyoos Lake,1,AUGUST,1971-08-20,18,128,29.7,1.5,0.20
Osoyoos Lake,1,AUGUST,1971-08-20,30,146,29.6,1.6,0.21
Osoyoos Lake,1,AUGUST,1971-08-20,35,146,27.6,1.6,0.21
Osoyoos Lake,1,OCTOBER,1971-10-17,1,137,28.7,1.5,0.21
Osoyoos Lake,1,OCTOBER,1971-10-17,15,138,29.1,1.5,0.21
Osoyoos Lake,1,OCTOBER,1971-10-17,17,138,29.1,1.5,0.21
Osoyoos Lake,1,OCTOBER,1971-10-17,20,146,27.5,1.6,0.21
Osoyoos Lake,1,OCTOBER,1971-10-17,35,145,27.6,1.5,0.21
Osoyoos Lake,3,APRIL,1971-04-17,1,148,40.0,1.1,0.21
Osoyoos Lake,3,APRIL,1971-04-17,5,145,31.5,1.5,0.21
Osoyoos Lake,3,APRIL,1971-04-17,10,150,31.2,1.5,0.21
Osoyoos Lake,3,APRIL,1971-04-17,25,151,29.7,1.5,0.21
Osoyoos Lake,3,APRIL,1971-04-17,40,153,30.4,1.6,0.21
Osoyoos Lake,3,JUNE,1971-06-22,1,121,24.5,3.6,0.18
Osoyoos Lake,3,JUNE,1971-06-22,8,121,23.6,1.4,0 18
Osoyoos Lake,3,JUNE,1971-06-22,12,122,24.4,1.3,0.18
Osoyoos Lake,3,JUNE,1971-06-22,20,149,30.5,1.5,0.21
Osoyoos Lake,3,JUNE,1971-06-22,30,151,29.7,1.5,0.21
Osoyoos Lake,3,JUNE,1971-06-22,40,151,29.4,1.5,0.21
Osoyoos Lake,3,AUGUST,1971-08-20,1,121,27.6,1.4,0.20
Osoyoos Lake,3,AUGUST,1971-08-20,5,123,26.2,1.4,0.20
Osoyoos Lake,3,AUGUST,1971-08-20,15,131,26.1,1.4,0.20
Osoyoos Lake,3,AUGUST,1971-08-20,20,144,28.1,1.6,0.21
Osoyoos Lake,3,AUGUST,1971-08-20,30,145,28.4,1.6,0.21
Osoyoos Lake,3,AUGUST,1971-08-20,41,143,27.6,1.5,0.21
Osoyoos Lake,3,OCTOBER,1971-10-17,1,137,28.4,1.5,0.21
Osoyoos Lake,3,OCTOBER,1971-10-17,15,131,28.1,1.5,0.21
Osoyoos Lake,3,OCTOBER,1971-10-17,20,137,28.3,1.5,0.21
Osoyoos Lake,3,OCTOBER,1971-10-17,25,140,28.3,1.5,0.22
Osoyoos Lake,3,OCTOBER,1971-10-17,37,141,27.9,1.5,0.23
Osoyoos Lake,5,APRIL,1971-04-17,1,145,31.2,1.6,0.21
Osoyoos Lake,5,APRIL,1971-04-17,5,145,31.8,1.9,0.21
Osoyoos Lake,5,APRIL,1971-04-17,12,149,31.2,1.6,0.21
Osoyoos Lake,5,JUNE,1971-06-22,1,122,24.4,1.2,0.18
Osoyoos Lake,5,JUNE,1971-06-22,5,123,24.4,1.2,0.18
Osoyoos Lake,5,JUNE,1971-06-22,10,123,25.9,1.2,0.18
Osoyoos Lake,5,JUNE,1971-06-22,13,123,24.2,1.2,0.18
Osoyoos Lake,5,AUGUST,1971-08-20,1,123,27.9,1.4,0.20
Osoyoos Lake,5,AUGUST,1971-08-20,7,123,26.7,1.4,0.20
Osoyoos Lake,5,AUGUST,1971-08-20,11,131,23.4,1.3,0.20
Osoyoos Lake,5,OCTOBER,1971-10-17,1,134,28.1,1.6,0.23
Osoyoos Lake,5,OCTOBER,1971-10-17,5,134,28.7,1.5,0.24
Osoyoos Lake,5,OCTOBER,1971-10-17,11,137,28.4,1.5,0.24
Osoyoos Lake,6,APRIL,1971-04-17,1,149,33.1,1.7,0.21
Osoyoos Lake,6,APRIL,1971-04-17,5,151,33.0,1.6,0.21
Osoyoos Lake,6,APRIL,1971-04-17,10,149,32.5,1.6,0.21
Osoyoos Lake,6,APRIL,1971-04-17,20,151,33.8,1.6,0.21
Osoyoos Lake,6,JUNE,1971-06-22,1,138,28.3,3.9,0.19
Osoyoos Lake,6,JUNE,1971-06-22,5,132,27.0,1.4,0.19
Osoyoos Lake,6,JUNE,1971-06-22,10,132,26.4,1.4,0.18
Osoyoos Lake,6,JUNE,1971-06-22,23,150,31.4,1.8,0.21
Osoyoos Lake,6,AUGUST,1971-08-20,1,120,27.6,1.4,0.20
Osoyoos Lake,6,AUGUST,1971-08-20,5,119,27.9,1.4,0.21
Osoyoos Lake,6,AUGUST,1971-08-20,10,133,28.1,1.4,0.21
Osoyoos Lake,6,AUGUST,1971-08-20,15,133,26.4,1.4,0.21
Osoyoos Lake,6,AUGUST,1971-08-20,21,151,23.3,1.6,0.21
Osoyoos Lake,6,OCTOBER,1971-10-17,1,138,28.4,1.6,0.25
Osoyoos Lake,6,OCTOBER,1971-10-17,5,138,28.1,1.6,0.25
Osoyoos Lake,6,OCTOBER,1971-10-17,10,138,28.6,1.5,0.25
Osoyoos Lake,6,OCTOBER,1971-10-17,22,140,28.6,1.5,0.25
